Name;URL;Author;Price;Number of Ratings;Average Rating
The Very Hungry Caterpillar;https://www.amazon.com/Very-Hungry-Caterpillar-Eric-Carle/dp/0399226907?_encoding=UTF8&psc=1;Eric Carle;$6.61;3,404;4.6 out of 5 stars
How to Win Friends & Influence People;https://www.amazon.com/How-Win-Friends-Influence-People/dp/0671027034?_encoding=UTF8&psc=1;Dale Carnegie;$9.60;6,935;4.7 out of 5 stars
Unified: How Our Unlikely Friendship Gives Us Hope for a Divided Country;https://www.amazon.com/Unified-Unlikely-Friendship-Divided-Country/dp/1496430417?_encoding=UTF8&psc=1;Tim Scott;$14.99;8;4.0 out of 5 stars
Giraffes Can't Dance;https://www.amazon.com/Giraffes-Cant-Dance-Giles-Andreae/dp/0545392551?_encoding=UTF8&psc=1;Giles Andreae;$5.06;3,839;4.7 out of 5 stars
A Wrinkle in Time (Time Quintet);https://www.amazon.com/Wrinkle-Time-Quintet/dp/0312367546?_encoding=UTF8&psc=1;Madeleine L'Engle;$4.50;2,984;4.5 out of 5 stars
Player's Handbook (Dungeons & Dragons);https://www.amazon.com/Players-Handbook-Dungeons-Dragons-Wizards/dp/0786965606?_encoding=UTF8&psc=1;Wizards RPG Team;$27.27;2,528;4.6 out of 5 stars
Goodnight Moon;https://www.amazon.com/Goodnight-Moon-Margaret-Wise-Brown/dp/0694003611?_encoding=UTF8&psc=1;Margaret Wise Brown;$5.89;3,106;4.7 out of 5 stars
The Whole30: The 30-Day Guide to Total Health and Food Freedom;https://www.amazon.com/Whole30-30-Day-Guide-Health-Freedom/dp/0544609719?_encoding=UTF8&psc=1;Melissa Hartwig;$18.00;3,208;4.6 out of 5 stars
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book);https://www.amazon.com/Four-Agreements-Practical-Personal-Freedom/dp/1878424319?_encoding=UTF8&psc=1;Don Miguel Ruiz;$7.77;6,852;4.6 out of 5 stars
The Wonderful Things You Will Be;https://www.amazon.com/Wonderful-Things-You-Will-Be/dp/0385376715?_encoding=UTF8&psc=1;Emily Winfield Martin;$10.79;1,454;4.8 out of 5 stars
Tiger Woods;https://www.amazon.com/Tiger-Woods-Jeff-Benedict/dp/1501126423?_encoding=UTF8&psc=1;Jeff Benedict;$18.00;28;4.1 out of 5 stars
50 Ways to Get a Job: An Unconventional Guide to Finding Work on Your Terms;https://www.amazon.com/50-Ways-Get-Job-Unconventional/dp/0143131532?_encoding=UTF8&psc=1;Dev Aujla;$13.50;25;5.0 out of 5 stars
Milk and Honey;https://www.amazon.com/Milk-Honey-Rupi-Kaur/dp/144947425X?_encoding=UTF8&psc=1;Rupi Kaur;$8.99;5,396;4.6 out of 5 stars
Dear Zoo: A Lift-the-Flap Book;https://www.amazon.com/Dear-Zoo-Lift-Flap-Book/dp/141694737X?_encoding=UTF8&psc=1;Rod Campbell;$4.99;2,555;4.8 out of 5 stars
Strength in Stillness: The Power of Transcendental Meditation;https://www.amazon.com/Strength-Stillness-Power-Transcendental-Meditation/dp/1501161210?_encoding=UTF8&psc=1;Bob Roth;$15.29;191;3.5 out of 5 stars
Michael Symon's Playing with Fire: BBQ and More from the Grill, Smoker, and Fireplace;https://www.amazon.com/Michael-Symons-Playing-Fire-Fireplace/dp/0804186588?_encoding=UTF8&psc=1;Michael Symon;$18.00;1;5.0 out of 5 stars
Russian Roulette: The Inside Story of Putin's War on America and the Election of Donald Trump;https://www.amazon.com/Russian-Roulette-Inside-America-Election/dp/1538728753?_encoding=UTF8&psc=1;Michael Isikoff;$17.99;259;4.7 out of 5 stars
Man's Search for Meaning;https://www.amazon.com/Mans-Search-Meaning-Viktor-Frankl/dp/080701429X?_encoding=UTF8&psc=1;Viktor E. Frankl;$6.99;4,100;4.7 out of 5 stars
Before We Were Yours: A Novel;https://www.amazon.com/Before-We-Were-Yours-Novel/dp/0425284689?_encoding=UTF8&psc=1;Lisa Wingate;$15.60;6,061;4.7 out of 5 stars
Dungeon Master's Guide (D&D Core Rulebook);https://www.amazon.com/Dungeon-Masters-Guide-Core-Rulebook/dp/0786965622?_encoding=UTF8&psc=1;Wizards RPG Team;$23.98;1,142;4.6 out of 5 stars
Make Trouble: Standing Up, Speaking Out, and Finding the Courage to Lead--My Life Story;https://www.amazon.com/Make-Trouble-Standing-Speaking-Lead-My/dp/1501187597?_encoding=UTF8&psc=1;Cecile Richards;$17.70;3;5.0 out of 5 stars
The Keto Diet: The Complete Guide to a High-Fat Diet, with More Than 125 Delectable Recipes and 5 Meal Plans to Shed Weight, Heal Your Body, and Regain Confidence;https://www.amazon.com/Keto-Diet-Complete-Delectable-Confidence/dp/1628600160?_encoding=UTF8&psc=1;Leanne Vogel;$21.09;1,465;4.6 out of 5 stars
The Official SAT Study Guide, 2018 Edition (Official Study Guide for the New Sat);https://www.amazon.com/Official-SAT-Study-Guide-2018/dp/1457309289?_encoding=UTF8&psc=1;The College Board;$19.79;225;4.5 out of 5 stars
Xanathar's Guide to Everything;https://www.amazon.com/Xanathars-Guide-Everything-Wizards-Team/dp/0786966114?_encoding=UTF8&psc=1;Wizards RPG Team;$22.45;368;4.4 out of 5 stars
Food: What the Heck Should I Eat?;https://www.amazon.com/Food-What-Heck-Should-Eat/dp/0316338869?_encoding=UTF8&psc=1;Mark Hyman M.D.;$16.80;210;4.6 out of 5 stars
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain";https://www.amazon.com/Plant-Paradox-Dangers-Healthy-Disease/dp/006242713X?_encoding=UTF8&psc=1;Dr. Steven R Gundry;$16.79;1,279;4.5 out of 5 stars
Dear Madam President: An Open Letter to the Women Who Will Run the World;https://www.amazon.com/Dear-Madam-President-Letter-Women/dp/1538713454?_encoding=UTF8&psc=1;Jennifer Palmieri;$12.62;44;4.3 out of 5 stars
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals;https://www.amazon.com/Instant-Electric-Pressure-Cooker-Cookbook/dp/1623156122?_encoding=UTF8&psc=1;Laurel Randolph;$7.19;2,256;4.1 out of 5 stars
Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4);https://www.amazon.com/Dog-Man-Cat-Kid-Underpants/dp/0545935180?_encoding=UTF8&psc=1;Dav Pilkey;$6.79;382;4.9 out of 5 stars
Monster Manual (D&D Core Rulebook);https://www.amazon.com/Monster-Manual-Core-Rulebook-Wizards/dp/0786965614?_encoding=UTF8&psc=1;Wizards RPG Team;$23.98;1,126;4.7 out of 5 stars
StrengthsFinder 2.0;https://www.amazon.com/StrengthsFinder-2-0-Tom-Rath/dp/159562015X?_encoding=UTF8&psc=1;Tom Rath;$16.79;3,427;4.0 out of 5 stars
Principles: Life and Work;https://www.amazon.com/Principles-Life-Work-Ray-Dalio/dp/1501124021?_encoding=UTF8&psc=1;Ray Dalio;$18.00;475;4.4 out of 5 stars
History of the Black Dollar;https://www.amazon.com/History-Black-Dollar-Angel-Rich/dp/1973939738?_encoding=UTF8&psc=1;Angel Rich;$22.46;7;5.0 out of 5 stars
Wonder;https://www.amazon.com/Wonder-R-J-Palacio/dp/0375869026?_encoding=UTF8&psc=1;R. J. Palacio;$10.19;12,652;4.9 out of 5 stars
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness;https://www.amazon.com/Total-Money-Makeover-Classic-Financial/dp/1595555277?_encoding=UTF8&psc=1;Dave Ramsey;$14.49;5,729;4.7 out of 5 stars
Everybody, Always: Becoming Love in a World Full of Setbacks and Difficult People;https://www.amazon.com/Everybody-Always-Becoming-Setbacks-Difficult/dp/0718078136?_encoding=UTF8&psc=1;Bob Goff;$13.54;Not available;Not available
The Sun and Her Flowers;https://www.amazon.com/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797?_encoding=UTF8&psc=1;Rupi Kaur;$10.19;685;4.6 out of 5 stars
The Great Alone: A Novel;https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah/dp/0312577230?_encoding=UTF8&psc=1;Kristin Hannah;$17.39;1,831;4.6 out of 5 stars
The Pout-Pout Fish;https://www.amazon.com/Pout-Pout-Fish-Deborah-Diesen/dp/0374360979?_encoding=UTF8&psc=1;Deborah Diesen;$5.79;2,297;4.8 out of 5 stars
Beneath a Scarlet Sky: A Novel;https://www.amazon.com/Beneath-Scarlet-Sky-Mark-Sullivan/dp/1503943372?_encoding=UTF8&psc=1;Mark Sullivan;$8.63;17,284;4.8 out of 5 stars
Love You Forever;https://www.amazon.com/Love-You-Forever-Robert-Munsch/dp/0920668372?_encoding=UTF8&psc=1;Robert Munsch;$5.06;6,281;4.8 out of 5 stars
Potty (Leslie Patricelli board books);https://www.amazon.com/Potty-Leslie-Patricelli-board-books/dp/0763644765?_encoding=UTF8&psc=1;Leslie Patricelli;$4.00;2,987;4.6 out of 5 stars
Fascism: A Warning;https://www.amazon.com/Fascism-Warning-Madeleine-Albright/dp/0062802186?_encoding=UTF8&psc=1;Madeleine Albright;$18.67;Not available;Not available
Unfu*k Yourself: Get Out of Your Head and into Your Life;https://www.amazon.com/Unfu-Yourself-Your-Head-into/dp/0062803832?_encoding=UTF8&psc=1;Gary John Bishop;$11.54;540;4.5 out of 5 stars
Brown Bear, Brown Bear, What Do You See?;https://www.amazon.com/Brown-Bear-What-You-See/dp/0805047905?_encoding=UTF8&psc=1;Bill Martin Jr.;$6.08;2,657;4.8 out of 5 stars
Children of Blood and Bone (Legacy of Orisha);https://www.amazon.com/Children-Blood-Bone-Legacy-Orisha/dp/1250170974?_encoding=UTF8&psc=1;Tomi Adeyemi;$11.39;317;4.8 out of 5 stars
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change;https://www.amazon.com/Habits-Highly-Effective-People-Powerful/dp/1451639619?_encoding=UTF8&psc=1;Stephen R. Covey;$10.25;4,868;4.5 out of 5 stars
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering;https://www.amazon.com/Lettering-Modern-Calligraphy-Beginners-Guide/dp/1948209004?_encoding=UTF8&psc=1;Paper Peony Press;$6.64;185;4.5 out of 5 stars
The Alchemist;https://www.amazon.com/Alchemist-Paulo-Coelho/dp/0062315005?_encoding=UTF8&psc=1;Paulo Coelho;$10.73;11,670;4.6 out of 5 stars
A Gentleman in Moscow: A Novel;https://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?_encoding=UTF8&psc=1;Amor Towles;$16.20;7,815;4.7 out of 5 stars
What to Expect When You're Expecting;https://www.amazon.com/What-Expect-When-Youre-Expecting/dp/0761187480?_encoding=UTF8&psc=1;Heidi Murkoff;$14.34;3,911;4.4 out of 5 stars
Fahrenheit 451;https://www.amazon.com/Fahrenheit-451-Ray-Bradbury/dp/1451673310?_encoding=UTF8&psc=1;Ray Bradbury;$8.99;3,357;4.4 out of 5 stars
Oh, the Places You'll Go!;https://www.amazon.com/Oh-Places-Youll-Dr-Seuss/dp/0679805273?_encoding=UTF8&psc=1;Dr. Seuss;$15.11;4,019;4.9 out of 5 stars
